zip,total,grand_total,pct_total
20685,6451.44,27136.44,76.22591614817567
20686,3420.7,24106.7,85.81016895717788
20687,268,20955,98.72106895728943
20688,16402.21,37090.21,55.777521885155146
20689,762,21451,96.44771805510233
20690,1415.24,22105.24,93.5977171023703
20692,220.47,20912.47,98.94574863705722
20693,910.9,21603.9,95.78363165909857
20695,8587.4,29282.4,70.67385187006529
20696,55,20751,99.73495253240807
20698,92.85,20790.85,99.5534093122696
20701,1345,22046,93.89912002177266
20702,159,20861,99.23781218541777
20703,165.24,20868.24,99.20817471909466
20704,43,20747,99.79274111919796
20705,41035.37,61740.37,33.535594295920156
20706,45613.48,66319.48000000001,31.221595826746523
20707,66373.67,87080.67,23.779100459378643
20708,29724.83,50432.83,41.06055519787408
20709,486,21195,97.70700636942675
20710,5424.5,26134.5,79.24391130498
20711,19099.27,39810.270000000004,52.02426409064797
20712,21893.91,42605.91,48.612974115562835
20713,80,20793,99.6152551339393
20714,7062.41,27776.41,74.57407202730663
20715,52535.25,73250.25,28.279766963252683
20716,35491,56207,36.856619282295796
20717,245,20962,98.8312183951913
20718,3987.9,24705.9,83.85851152963461
20720,97557.53,118277.53,17.5181203056912
20721,122700.42,143421.41999999998,14.447632717623351
20722,15413.47,36135.47,57.34531749552448
20723,47158.03,67881.03,30.528411251273003
20724,16990.48,37714.479999999996,54.949716925700685
20725,624,21349,97.07714647056068
20726,178.5,20904.5,99.14611686478987
20727,10,20737,99.95177701692627
20729,15,20744,99.92768993443887
20731,159,20890,99.23887027285782
20732,16660.18,37392.18,55.4447480729928
20733,8591.1,29324.1,70.70293717454244
20734,49,20783,99.76423038059953
20735,49239.74,69974.73999999999,29.63212153414218
20736,17574.63,38310.630000000005,54.12596973738098
20737,22759.88,43496.880000000005,47.674683793412306
20738,662.5,21400.5,96.90427793743137
20740,55985.85,76725.85,27.03130691937593
20741,16193.2,36934.2,56.15662448354101
20742,444,21186,97.90427640894931
20743,21754.45,42497.45,48.80998742277478
20744,96990.27,117734.27,17.619338872190742
20745,37537.44,58282.44,35.59391130501743
20746,17308.44,38054.44,54.51663458981396
20747,24257.35,45004.35,46.09998811226026
20748,36519.45,57267.45,36.23000500284193
20749,3599,24348,85.21849843929687
20750,2515.76,23265.760000000002,89.18685656518419
20751,10899.08,31650.08,65.56381532053
20752,275,21027,98.69215770200219
20753,1117,21870,94.89254686785551
20754,7766.02,28520.02,72.76993494394463
20755,2158.54,22913.54,90.57963108275719
20756,25,20781,99.8796978008758
20757,150,20907,99.2825369493471
20758,1886.29,22644.29,91.66990883794546
20759,25238.81,45997.81,45.13040946949431
20760,27.5,20787.5,99.86770895971136
20762,728,21490,96.61237785016287
20763,6937.68,27700.68,74.95483865378034
20764,13764.1,34528.1,60.136526481329696
20765,2040,22805,91.05459329094496
20768,642.5,21410.5,96.99913593797436
20769,40900.44,61669.44,33.677944862155385
20770,94850.85,115620.85,17.96388800116934
20772,77618.04,98390.04,21.111893033075297
20773,640.3,21413.3,97.00980231911943
20774,87764.19,108538.19,19.139806919573655
20775,335,21110,98.41307437233539
20776,7794.5,28570.5,72.71836334680877
20777,25644.29,46421.29,44.757480888618126
20778,3251.97,24029.97,86.46702430340112
20779,16548.51,37327.509999999995,55.6667187283588
20781,44207.49,64988.49,31.97643151887357
20782,102910.54,123692.54,16.801336604454885
20783,23054.53,43837.53,47.40914919248416
20784,16966.52,37750.520000000004,55.056195252409765
20785,47805.02,68590.01999999999,30.30324236674665
20786,4.4,20790.4,99.97883638602431
20787,248,21035,98.82101259805087
20791,754.5,21545.5,96.49810865377921
20792,2698.4599999999996,23490.46,88.51252806458452
20794,9360.8,30154.8,68.95751256847997
20795,246,21041,98.83085404686089
20798,25,20823,99.87994045046344
20800,275,21075,98.69513641755636
20801,30,20831,99.85598387019347
20802,75,20877,99.64075298175025
20803,161.5,20964.5,99.22965012282668
20804,50,20854,99.7602378440587
20805,2918.5,23723.5,87.69785234050624
20806,117,20923,99.44080676767194
20807,75,20882,99.64083900009577
20810,4162.6,24972.6,83.33133113892826
20812,9983.2,30795.2,67.58196082506365
20813,5800,26613,78.20613985646114
20814,852308.93,873122.93,2.3838567611550414
20815,2476159.11,2496974.11,0.83360896361076
20816,626049.57,646865.57,3.2179792781365686
20817,1340696.1,1361513.1,1.5289606835218845
20818,92990.91,113808.91,18.292065181891296
20819,25,20844,99.88006140855882
20824,2735.5,23559.5,88.38897260128611
20825,1118.19,21943.19,94.90415933143723
20827,1020.98,21847.98,95.32689063245206
20830,880,21710,95.94656840165821
20832,115354.08,136186.08000000002,15.296717549987484
20833,34761.42,55594.42,37.47318525852055
20834,208,21042,99.01150080790799
20835,299.72,21134.72,98.581859612997
20836,339,21175,98.39905548996458
20837,24140.17,44977.17,46.327948156809335
20838,5862.5,26700.5,78.04348233179154
20839,250,21089,98.81454786855707
20840,20,20860,99.90412272291466
20841,51763.85,72604.85,28.70469397016866
20842,11821.21,32663.21,63.808792828383986
20843,153,20996,99.27128976947989
20846,15,20861,99.92809548919035
20847,50,20897,99.76073120543619
20848,310,21158,98.53483316003403
20849,1622.86,22471.86,92.77825689551288
20850,362622.99,383472.99,5.437149562997905
20851,26691.79,47542.79,43.85733357255643
20852,432156.09,453008.09,4.603008303891438
20853,120246.59,141099.59,14.778923170506733
20854,1032443.47,1053297.47,1.979877536400045
20855,83307.91,104162.91,20.021522056171435
20859,4594.5,25453.5,81.94943720902823
20860,27266.39,48126.39,43.34420262978379
20861,19561.2,40422.2,51.60777988333144
20862,1383.5,22245.5,93.78076464903015
20864,111.5,20975.5,99.46842745107386
20865,700,21565,96.75399953628565
20866,38466.98,59332.98,35.16762515552059
20868,2733.27,23601.27,88.41897067403576
20869,41.25,20910.25,99.80272832701665
20870,27,20897,99.87079485093554
20871,28163.28,49034.28,42.56410005408461
20872,25675.41,46547.41,44.84030368177305
20874,106671.36,127545.36,16.36594228124018
20875,2971.8,23846.8,87.53795058456481
20876,41433.01,62309.01,33.50398281083265
20877,75438.76,96315.76,21.675580403456298
20878,321611.91,342489.91,6.0959460090371715
20879,38186.58,59065.58,35.34884445391038
20880,17330.52,38210.520000000004,54.64463713134498
20882,49470.73,70352.73000000001,29.681861670471065
20883,24499.01,45382.009999999995,46.016031462687536
20885,167,21052,99.20672620178605
20886,81079.51,101965.51,20.483396787796188
20887,100,20987,99.5235145566303
20888,100,20988,99.52353725938632
20891,62,20953,99.70409965160121
20892,37.5,20929.5,99.82082706228051
20893,35,20928,99.83275993883792
20895,308058.19,328953.19,6.35196758541846
20896,25793.67,46689.67,44.755081798607705
20898,145.5,21043.5,99.30857509444722
20899,3250,24149,86.54188579237236
20901,265229.22,286130.22,7.304716013568928
20902,233189.66,254091.66,8.226165313729698
20903,62539.18,83442.18,25.050879543175885
20904,288676.34,309580.34,6.752366768509913
20905,97625.31,118530.31,17.636839049859905
20906,281501.71,302407.71,6.913183529613051
20907,881,21788,95.95648981090508
20908,175,21083,99.16994735094626
20910,645064.74,665974.74,3.1397587241822413
20911,1332,22243,94.01159915479028
20912,565004.06,585916.06,3.5691119304700396
20913,115225.42,136138.41999999998,15.361570965786148
20914,1686,22600,92.53982300884955
20916,2831.68,23747.68,88.07597205284895
20917,100,21017,99.52419469952896
20919,105,21024,99.5005707762557
20920,271,21191,98.72115520739936
20950,25,20975,99.880810488677
20952,70,21022,99.6670155075635
20953,19258.24,40211.240000000005,52.10732123654977
20954,391.7,21345.7,98.16496999395663
20963,45.22,21008.22,99.78475092130603
20978,27.5,21005.5,99.86908190711956
20979,3,20982,99.9857020303117
20985,50,21035,99.76230092702639
20991,75,21066,99.64397607519226
20992,104.1,21096.1,99.50654386355772
20994,1594,22588,92.94315565787143
20995,79.5,21074.5,99.6227668509336
20996,33.5,21029.5,99.84069996909103
21001,27737.74,48738.740000000005,43.08892679622001
21003,50,21053,99.76250415617727
21004,250,21254,98.82375082337443
21005,1301.12,22306.12,94.16698197624687
21009,18762.16,39771.16,52.824710166864634
21010,4170.9,25180.9,83.43625525696062
21012,78343,99355,21.148407226611646
21013,5974.25,26987.25,77.86269442051339
21014,60621.04,81635.04000000001,25.741397321542316
21015,95821.03,116836.03,17.986746040583544
21016,45,21061,99.78633493186459
21017,4196.72,25213.72,83.35541126021863
21019,450,21469,97.90395453910288
21020,35,21055,99.83376870102113
21022,1252,22274,94.3790967046781
21023,978.6,22001.6,95.55214166242456
21024,24.2,21048.2,99.88502579793047
21025,60,21085,99.71543751482096
21027,100,21127,99.52667203105031
21028,5138.14,26166.14,80.36340094488527
21029,52256.39,73285.39,28.694668882842816
21030,88428.48,109458.48,19.212764511255777
21032,35314.24,56346.24,37.326359309866994
21033,127.5,21160.5,99.3974622527823
21034,2481.33,23515.33,89.44803241119729
21035,43091.73,64126.73,32.80223395142712
21036,4457.42,25493.42,82.51540985870079
21037,53078.12,74115.12,28.384221735052172
21038,5,21043,99.9762391294017
21040,7597.5,28637.5,73.47010039284156
21041,69.5,21110.5,99.67077994362995
21042,212014.27,233056.27,9.02872083209776
21043,110968.32,132011.32,15.940299665210528
21044,275218.94,296262.94,7.103149654830267
21045,159432.62,180477.62,11.660725579160452
21046,58188.4,79234.4,26.56169542521935
21047,14208.02,35255.020000000004,59.6992995607434
21048,10694.23,31742.23,66.30914085116262
21050,21222.82,42272.82,49.79558969569572
21051,787,21838,96.39619012730104
21052,5,21057,99.97625492710263
21053,2589.16,23642.16,89.04854717166283
21054,17548.78,38602.78,54.54011343224504
21055,1000,22055,95.4658807526638
21056,12752.5,33808.5,62.28019580874632
21057,18056.99,39113.990000000005,53.8349577734207
21058,205,21263,99.03588392983116
21060,52983.69,74043.69,28.44266675526301
21061,32546.4,53607.4,39.28748642911239
21062,371,21433,98.26902440162367
21069,24.5,21093.5,99.8838504752649
21071,1953.5,23024.5,91.515559512693
21073,75,21148,99.6453565348969
21074,26773.02,47847.020000000004,44.0445402869395
21075,31803.44,52878.44,39.855563061240076
21076,35991.71,57067.71,36.931567781500256
21077,645,21722,97.03066016020624
21078,52199.86,73277.86,28.764486299135918
21082,730.92,21812.92,96.64914188471786
21083,45,21128,99.78701249526695
21084,5903.96,26987.96,78.1237262838688
21085,10388.52,31473.52,66.99282444416767
21087,2872.35,23959.35,88.01156959600324
21090,8394.64,29484.64,71.52876887762577
21093,100859.02,121952.02,17.296146468094584
21094,2111,23205,90.90282266752855
21101,228.8,21329.8,98.92732233776219
21102,6690.81,27792.81,75.92611182532461
21104,18593.88,39697.880000000005,53.161529028754174
21105,70,21175,99.6694214876033
21106,250,21356,98.82936879565462
21108,39812.55,60920.55,34.648406818388864
21111,22119.91,43230.91,48.8331150096077
21112,37.5,21149.5,99.82269084375517
21113,70935.15,92048.15,22.93690856361589
21114,42239.22,63353.22,33.32742992384602
21117,93614.29,114731.29,18.405615416683627
21118,5,21123,99.97632911991667
